date,exch,cc_code,underly_code,type_code,prod_name,fut_date,opt_date,opt_strike,valuation_meth,max_array_value,contr_value_fact,sett_p,sett_meth,time_to_expr,margin_rate,base_volat,volat_scan_range,price_model
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,51,EQTY ,4482,1000,5.31,CASH ,0.013699,0.8440678,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,40.5,EQTY ,4317,1000,5.29,CASH ,0.016438,0.8160681,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,40.5,EQTY ,80,1000,0.08,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,41,EQTY ,4119,1000,4.79,CASH ,0.016438,0.8599165,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,41,EQTY ,80,1000,0.08,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,41.5,EQTY ,3845,1000,4.31,CASH ,0.016438,0.8921114,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,41.5,EQTY ,100,1000,0.1,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,42,EQTY ,3508,1000,3.83,CASH ,0.016438,0.9159269,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,42,EQTY ,120,1000,0.12,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,42.5,EQTY ,3123,1000,3.37,CASH ,0.016438,0.9267062,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,42.5,EQTY ,160,1000,0.16,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,43,EQTY ,2702,1000,2.91,CASH ,0.016438,0.9285223,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,43,EQTY ,200,1000,0.2,CASH ,0.016438,1,0.323058,42,B
2020-12-09,NYM,C15,CL,OOF,C15 SHORT TERM ,2021-01-01,2020-12-01,43.5,EQTY ,2266,1000,2.46,CASH ,0.016438,0.9211382,0.323058,42,B
